name,severity,cloudProvider,targetNativeTypes,matcherTypes
EC2 Security Group should not allow access from all IP addresses,MEDIUM,AWS,securityGroup,"CLOUD, CLOUD_FORMATION, ANSIBLE, TERRAFORM"
EC2 Security Group should not allow access from all IP addresses - excluding HTTP/S ports,MEDIUM,AWS,securityGroup,"CLOUD, TERRAFORM"
S3 Bucket does not have a lifecycle rule to delete incomplete multipart uploads,INFORMATIONAL,AWS,bucket,CLOUD
S3 Bucket object lock should be enabled,CRITICAL,AWS,bucket,"CLOUD, TERRAFORM"
S3 Bucket should have at least one replication rule enabled,MEDIUM,AWS,bucket,"CLOUD, TERRAFORM"
S3 Bucket MFA Delete should be enabled,LOW,AWS,bucket,"CLOUD, TERRAFORM"
S3 Bucket should be configured with a lifecycle policy,LOW,AWS,bucket,CLOUD
EC2 Security Group should restrict access to high-risk ports,HIGH,AWS,securityGroup,"CLOUD, CLOUD_FORMATION, TERRAFORM"
IAM assumed role cross account should have an external ID or MFA,MEDIUM,AWS,role,"CLOUD, ANSIBLE, TERRAFORM, CLOUD_FORMATION"
S3 Bucket event notifications should be enabled,LOW,AWS,bucket,CLOUD
S3 Bucket should be encrypted with a customer-managed key,MEDIUM,AWS,bucket,"CLOUD, TERRAFORM"
EC2 Security Group should restrict access to remote administration ports,HIGH,AWS,securityGroup,"CLOUD, CLOUD_FORMATION, TERRAFORM"
S3 Bucket policy should deny HTTP requests,MEDIUM,AWS,bucket,"CLOUD, TERRAFORM, CLOUD_FORMATION"
EBS volume should be encrypted with a customer-managed key,MEDIUM,AWS,volume,"CLOUD, TERRAFORM, CLOUD_FORMATION"
S3 Bucket versioning should be enabled,MEDIUM,AWS,bucket,"CLOUD, TERRAFORM, CLOUD_FORMATION"
EBS volume should have recent snapshots,MEDIUM,AWS,volume,CLOUD
EC2 Security Group should restrict SSH access (TCP:22),HIGH,AWS,securityGroup,"CLOUD, CLOUD_FORMATION, TERRAFORM"
Resource policy should not allow all actions,LOW,AWS,resourcePolicy,CLOUD
S3 Bucket logging should be enabled,LOW,AWS,bucket,"CLOUD, CLOUD_FORMATION, TERRAFORM"
SQS Queue should be encrypted with a customer-managed key,MEDIUM,AWS,sqs,"CLOUD, TERRAFORM, CLOUD_FORMATION"
EBS Volume should be encrypted,MEDIUM,AWS,volume,"CLOUD, TERRAFORM, CLOUD_FORMATION"
EC2 instance tenancy is not dedicated,INFORMATIONAL,AWS,virtualMachine,"CLOUD, TERRAFORM"
EC2 Instance detailed monitoring should be enabled,LOW,AWS,virtualMachine,"CLOUD, TERRAFORM"
IAM Role should not allow all principals to assume,MEDIUM,AWS,role,"CLOUD, CLOUD_FORMATION, ANSIBLE, TERRAFORM"
EC2 Instance should be managed by online SSM agent,MEDIUM,AWS,virtualMachine,CLOUD
EBS Volume using gp2 should migrate to gp3,INFORMATIONAL,AWS,volume,CLOUD
EC2 Instance should not be launched with a key pair,MEDIUM,AWS,virtualMachine,CLOUD
Secret should be encrypted with a customer-managed key,MEDIUM,AWS,secret,"CLOUD, TERRAFORM, CLOUD_FORMATION"
Secret automatic rotation should be enabled,MEDIUM,AWS,secret,CLOUD
IAM Role should not be vulnerable to the confused deputy problem,MEDIUM,AWS,role,"CLOUD, TERRAFORM"
Resource policy should not allow all principals,MEDIUM,AWS,resourcePolicy,CLOUD
Lambda function X-Ray tracing should be enabled,LOW,AWS,lambda,"CLOUD, CLOUD_FORMATION, CLOUD_FORMATION, TERRAFORM, ANSIBLE"
S3 Bucket ACL should not be used to manage user access to buckets,MEDIUM,AWS,bucket,CLOUD
Auto Scaling Group should have a load balancer,LOW,AWS,autoScalingGroup,"CLOUD, CLOUD_FORMATION, TERRAFORM, ANSIBLE"
EC2 instance should use IMDSv2,HIGH,AWS,virtualMachine,"CLOUD, TERRAFORM"
EC2 instance that has not been used for 30 days should be deleted,LOW,AWS,virtualMachine,CLOUD
Auto Scaling Group should use multiple instance types in multiple availability zones,LOW,AWS,autoScalingGroup,CLOUD
Auto Scaling Group should cover multiple Availability Zones,LOW,AWS,autoScalingGroup,"CLOUD, TERRAFORM"
EC2 Security Group should restrict HTTP access (TCP:80),HIGH,AWS,securityGroup,"CLOUD, CLOUD_FORMATION, ANSIBLE, TERRAFORM"
EC2 instance should have a response hop limit of 1,MEDIUM,AWS,virtualMachine,"CLOUD, TERRAFORM"
EC2 instance stopped for at least 90 days has EBS volume attached,INFORMATIONAL,AWS,virtualMachine,CLOUD
Lambda Function should be configured inside a VPC,MEDIUM,AWS,lambda,"CLOUD, TERRAFORM"
SNS Topic delivery status logging should be enabled,LOW,AWS,sns,CLOUD
Secret unused for 90 days or more should be removed,MEDIUM,AWS,secret,CLOUD
EC2 Security Group should restrict HTTPS access (TCP:443),HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
EC2 instance should not have a public IP address,HIGH,AWS,virtualMachine,"CLOUD, ANSIBLE, TERRAFORM"
EC2 Security Group should not allow unrestricted access over ports higher than 1024,HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
IAM policy should not allow all actions on any service,MEDIUM,AWS,"inlinePolicy, customerManagedPolicy","CLOUD, TERRAFORM"
SNS Topic is configured with subscribers,INFORMATIONAL,AWS,sns,CLOUD
SNS Topic policy should enforce encryption of data in transit,MEDIUM,AWS,sns,CLOUD
IAM password policy should not allow reuse of passwords,LOW,AWS,account,"CLOUD, TERRAFORM"
Access keys should be rotated within 15 days or less,LOW,AWS,user,CLOUD
S3 Bucket Account level 'Block Public Access' setting should be enabled,MEDIUM,AWS,account,CLOUD
IAM password policy should enforce a minimum length of 14 characters,LOW,AWS,account,"CLOUD, CLOUD_FORMATION, TERRAFORM"
Access keys should be rotated every 90 days,HIGH,AWS,user,"CLOUD, CLOUD_FORMATION"
EC2 instance should use an instance profile,MEDIUM,AWS,virtualMachine,"CLOUD, CLOUD_FORMATION, TERRAFORM"
S3 Bucket should have all 'Block Public Access' settings enabled,HIGH,AWS,bucket,"CLOUD, TERRAFORM"
S3 Bucket 'Block Public Access' should be configured to block public access through policies,HIGH,AWS,bucket,"CLOUD, TERRAFORM, CLOUD_FORMATION"
IAM User should not have any policies attached,LOW,AWS,user,"CLOUD, ANSIBLE, CLOUD_FORMATION, TERRAFORM"
S3 Bucket 'Block Public Access' should be configured to block the creation of new public ACLs,HIGH,AWS,bucket,"CLOUD, TERRAFORM, CLOUD_FORMATION"
IAM policy should not allow decryption actions on all KMS keys,MEDIUM,AWS,"customerManagedPolicy, inlinePolicy",CLOUD
S3 Bucket 'Block Public Access' should be configured to block the creation of new public policies,HIGH,AWS,bucket,"CLOUD, TERRAFORM, CLOUD_FORMATION"
S3 Bucket 'Block Public Access' should be configured to block public access through ACLs,HIGH,AWS,bucket,"CLOUD, CLOUD_FORMATION, TERRAFORM"
IAM User should be part of a group,LOW,AWS,user,"CLOUD, CLOUD_FORMATION"
IAM User credentials unused for 45 days or more should be disabled,MEDIUM,AWS,user,CLOUD
IAM Role inline policies should not allow decryption actions on all KMS keys,MEDIUM,AWS,role,CLOUD
AWS Account security contact information should be provided,MEDIUM,AWS,account,CLOUD
Root account should be configured to use a hardware MFA device and only a hardware MFA device,LOW,AWS,rootUser,CLOUD
KMS key policy should not allow all KMS actions,LOW,AWS,resourcePolicy,"CLOUD, CLOUD_FORMATION, TERRAFORM"
IAM Root User password should be rotated every 90 days,MEDIUM,AWS,rootUser,CLOUD
Lambda function should not use deprecated runtime,MEDIUM,AWS,lambda,"CLOUD, TERRAFORM"
KMS key automatic rotation should be enabled,MEDIUM,AWS,encryptionKey,"CLOUD, TERRAFORM, CLOUD_FORMATION, ANSIBLE"
Access keys unused for 30 days or more should be disabled,MEDIUM,AWS,user,CLOUD
EBS volume should be attached to an EC2 instance,LOW,AWS,volume,"CLOUD, CLOUD_FORMATION, TERRAFORM"
Unattached volume created more than 7 days ago,INFORMATIONAL,AWS,volume,CLOUD
IAM User should not be inactive for more than 90 days,MEDIUM,AWS,user,CLOUD
EC2 Security Group should restrict inbound traffic to specific ports,MEDIUM,AWS,securityGroup,"CLOUD, CLOUD_FORMATION, TERRAFORM"
EC2 Security Group should restrict RDP access (TCP:3389),HIGH,AWS,securityGroup,"CLOUD, TERRAFORM, ANSIBLE, CLOUD_FORMATION"
IAM Role policy should not allow PassRole permission across all resources,MEDIUM,AWS,role,"CLOUD, TERRAFORM"
SQS Queue should be configured to use a dead-letter queue,LOW,AWS,sqs,CLOUD
ECR repository should be configured with a lifecycle policy,LOW,AWS,repository,CLOUD
IAM User with console access should have MFA enabled,HIGH,AWS,user,CLOUD
Private ECR Repository should be encrypted with KMS,MEDIUM,AWS,repository,"CLOUD, TERRAFORM"
Private ECR Repository tag immutability should be enabled,HIGH,AWS,repository,"CLOUD, TERRAFORM, ANSIBLE, CLOUD_FORMATION"
Default IAM role with high privileges is used for service configurations,INFORMATIONAL,AWS,role,CLOUD
Access keys should be rotated every 365 days,LOW,AWS,user,"CLOUD, CLOUD_FORMATION"
Root account should have MFA enabled,HIGH,AWS,rootUser,"CLOUD, TERRAFORM"
Account should be logged by CloudTrail,MEDIUM,AWS,account,CLOUD
Private ECR Repository should scan images on push,LOW,AWS,repository,"CLOUD, CLOUD_FORMATION, TERRAFORM"
IAM User password should be rotated every 90 days,MEDIUM,AWS,user,CLOUD
Lambda function environment variables should be encrypted at rest with a KMS customer master key,MEDIUM,AWS,lambda,"CLOUD, TERRAFORM, CLOUD_FORMATION"
ECS Task Definition should have read-only access to its root filesystems,MEDIUM,AWS,taskDefinition,"CLOUD, TERRAFORM"
ECS Task Definition should have a memory limit,LOW,AWS,taskDefinition,CLOUD
"EC2 Security Group should restrict RethinkDB access (TCP:28015,29015,8080, UDP:28015,29015)",HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
CloudTrail does not have Lambda Function data events,INFORMATIONAL,AWS,cloudtrail,CLOUD
CloudTrail does not have DynamoDB data events,INFORMATIONAL,AWS,cloudtrail,CLOUD
EC2 Security Group should restrict uncommon ports access,HIGH,AWS,securityGroup,"CLOUD, TERRAFORM, CLOUD_FORMATION, ANSIBLE"
API Gateway stages access logging should be enabled,LOW,AWS,"apiGateway, apiGatewayv2","CLOUD, TERRAFORM, CLOUD_FORMATION, CLOUD_FORMATION, CLOUD_FORMATION, TERRAFORM"
CloudTrail event should be integrated with CloudWatch,LOW,AWS,cloudtrail,"CLOUD, TERRAFORM, CLOUD_FORMATION"
IAM policy should not allow action that retrieves all IAM information,MEDIUM,AWS,"customerManagedPolicy, inlinePolicy","CLOUD, TERRAFORM"
CloudTrail trail should be configured with S3 data events,LOW,AWS,cloudtrail,"CLOUD, TERRAFORM"
Config recording is enabled for all services,INFORMATIONAL,AWS,config,CLOUD
SQS Queue should enforce server-side encryption,MEDIUM,AWS,sqs,"CLOUD, TERRAFORM"
EC2 Security Group should restrict MSSQL access (TCP:1433),HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
DynamoDB Table deletion protection should be enabled,MEDIUM,AWS,dynamoDB/table,"CLOUD, TERRAFORM"
EC2 Security Group should restrict DNS access (TCP:53),HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
EC2 Security Group should restrict SMTP access (TCP:25),HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
S3 VPC Gateway Endpoints,INFORMATIONAL,AWS,vpcEndpoint,CLOUD
EC2 Security Group should restrict MySQL access (TCP:3306),HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
EC2 Security Group should restrict FTP access (TCP:21),HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
CloudTrail with appropriate configuration to send events to CloudWatch Logs,INFORMATIONAL,AWS,cloudtrail,CLOUD
EC2 Security Group should restrict NFS access (TCP:2049),HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
EC2 Security Group should restrict FTP Data access (TCP:20),HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
"EC2 Security Group should restrict CIFS access (UDP: 137, 138, 445, TCP: 139, 445)",HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
EC2 Security Group should restrict Telnet access (TCP:23),HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
REST API Gateway APIs should be accessible only through private API endpoints,HIGH,AWS,apiGateway,"CLOUD, CLOUD_FORMATION, CLOUD_FORMATION, TERRAFORM"
EKS Cluster endpoint public access should be disabled,MEDIUM,AWS,cluster,"CLOUD, TERRAFORM"
EC2 Security Group should restrict mSQL (Mini SQL) access (TCP/UDP: 4333),HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
EC2 Security Group should restrict SMB access (TCP:445),HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
EC2 Security Group should restrict LDAP access (TCP:389),HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
"EC2 Security Group should restrict NetBIOS access (TCP:137,139, UDP:137,138)",HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
REST API Gateway content encoding should be enabled,LOW,AWS,apiGateway,"CLOUD, CLOUD_FORMATION, TERRAFORM, CLOUD_FORMATION"
"EC2 Security Group should restrict Oracle DB access (TCP:1521,1830,2483,2484)",HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
EC2 Security Group should restrict SQL Analysis Services access (TCP:2383),HIGH,AWS,securityGroup,"CLOUD, TERRAFORM, ANSIBLE"
EC2 Security Group should restrict RPC access (TCP:135),HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
EC2 Security Group should restrict etcd access (TCP:2379),HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
CloudTrail trail should be associated with an SNS topic,LOW,AWS,cloudtrail,"CLOUD, CLOUD_FORMATION, TERRAFORM, ANSIBLE"
EC2 Security Group should restrict PostgreSQL access (TCP:5432),HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
"EC2 Security Group should restrict POP3 access (TCP/UDP:110,995)",HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
EC2 Security Group should restrict MongoDB access (TCP:27017-27020),HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
DynamoDB Table Stream should be enabled,MEDIUM,AWS,dynamoDB/table,"CLOUD, TERRAFORM"
DynamoDB Table point-in-time recovery should be enabled,MEDIUM,AWS,dynamoDB/table,"CLOUD, CLOUD_FORMATION, TERRAFORM"
"EC2 Security Group should restrict Neo4J access (TCP:7473,7474, UDP:7473)",HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
CloudTrail should be an Organization Trail,LOW,AWS,cloudtrail,"CLOUD, TERRAFORM"
EC2 Security Group should restrict Redis access (TCP:6379),HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
EC2 instance should not use the default security group,LOW,AWS,virtualMachine,"CLOUD, ANSIBLE, CLOUD_FORMATION, TERRAFORM"
"EC2 Security Group should restrict Cassandra access (TCP:7000,7001,7199,9042,9142,9160)",HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
"EC2 Security Group should restrict Solr access (TCP:7574,8983)",HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
DynamoDB Table should not be encrypted with an AWS-owned key,LOW,AWS,dynamoDB/table,"CLOUD, TERRAFORM, CLOUD_FORMATION, CLOUD_FORMATION"
EC2 Security Group should restrict CouchDB access (TCP:5984),HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
EC2 Security Group should restrict MaxDB access (TCP:7210),HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
EKS Cluster control plane logging should be enabled for all logging types,LOW,AWS,cluster,"CLOUD, TERRAFORM"
EC2 Security Group should restrict Kibana access (TCP:5601),HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
"EC2 Security Group should restrict VNC Server access (TCP: 5800, 5900)",HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
EC2 Security Group should restrict VNC Listener access (TCP:5500),HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
EC2 Security Group should restrict ArangoDB access (TCP/UDP:8529),HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
REST API Gateway methods request parameters should be validated,MEDIUM,AWS,apiGateway,"CLOUD, TERRAFORM"
EC2 Security Group should restrict Memcached access (TCP/UDP:11211),HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
"EC2 Security Group should restrict ElasticSearch access (TCP:9200,9300)",HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
"EC2 Security Group should restrict Riak access (TCP:8087,8098)",HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
CloudTrail logs should be encrypted with SSE-KMS,MEDIUM,AWS,cloudtrail,"CLOUD, TERRAFORM, CLOUD_FORMATION"
ELBv2 should have deletion protection enabled,MEDIUM,AWS,"loadBalancerv2/network, loadBalancerv2/application, loadBalancerv2/gateway","CLOUD, TERRAFORM"
REST API Gateway methods should require an API key,MEDIUM,AWS,apiGateway,"CLOUD, CLOUD_FORMATION, TERRAFORM"
REST API Gateway should have an authorizer configured for all methods,MEDIUM,AWS,apiGateway,"CLOUD, CLOUD_FORMATION, TERRAFORM, ANSIBLE"
IAM policy should not allow assume role permission across all services,HIGH,AWS,"customerManagedPolicy, inlinePolicy","CLOUD, TERRAFORM, ANSIBLE, CLOUD_FORMATION"
ECS Task Definition logging should be configured,LOW,AWS,taskDefinition,CLOUD
REST API Gateway resource methods should require authorization,MEDIUM,AWS,apiGateway,"CLOUD, CLOUD_FORMATION, TERRAFORM"
EC2 Security Group should not allow unrestricted access using ICMP,MEDIUM,AWS,securityGroup,"CLOUD, TERRAFORM"
REST API Gateway resource methods should require authorization or API key,MEDIUM,AWS,apiGateway,CLOUD
ELBv2 access logging should be enabled,MEDIUM,AWS,"loadBalancerv2/application, loadBalancerv2/network","CLOUD, TERRAFORM, CLOUD_FORMATION"
Elastic IP address without a resource associated,INFORMATIONAL,AWS,elasticIP,CLOUD
Launch Template should use IMDSv2,HIGH,AWS,launchtemplate,"CLOUD, TERRAFORM"
EC2 Security Group should not allow unrestricted access to all ports,HIGH,AWS,securityGroup,CLOUD
Public Route 53 Hosted Zone CloudWatch query logging should be enabled,MEDIUM,AWS,dnsZone,"CLOUD, CLOUD_FORMATION, TERRAFORM"
EC2 Security Group should restrict TCP access,HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
DB Instance Snapshot should be encrypted,MEDIUM,AWS,rds#snapshot,CLOUD
API Gateway stages should have client certificate authentication,MEDIUM,AWS,"apiGateway, apiGatewayv2","CLOUD, TERRAFORM, CLOUD_FORMATION"
AWS Account primary contact information should be provided,MEDIUM,AWS,account,CLOUD
EKS Cluster audit logging should be enabled,LOW,AWS,cluster,"CLOUD, TERRAFORM"
EKS Cluster control plane logging should be enabled for at least one logging type,LOW,AWS,cluster,"CLOUD, TERRAFORM"
ELBv2 is internet-facing and should be reviewed regularly for security compliance purposes,INFORMATIONAL,AWS,"loadBalancerv2/application, loadBalancerv2/network","CLOUD, TERRAFORM"
ECS Cluster container insights should be enabled,MEDIUM,AWS,ecs,"CLOUD, CLOUD_FORMATION, TERRAFORM"
S3 Bucket ACL should restrict public access,MEDIUM,AWS,bucket,CLOUD
S3 Bucket set to host websites,INFORMATIONAL,AWS,bucket,"CLOUD, CLOUD_FORMATION, TERRAFORM"
ELBv2 listeners should use ACM certificates,MEDIUM,AWS,"loadBalancerv2/application, loadBalancerv2/network",CLOUD
CloudFront distributions should use origin groups to allow origin failover,LOW,AWS,cloudfront,"CLOUD, TERRAFORM"
CloudFront web distribution geo restriction should be enabled,LOW,AWS,cloudfront,"CLOUD, TERRAFORM, CLOUD_FORMATION"
ELBv2 listeners should use TLS/SSL,MEDIUM,AWS,"loadBalancerv2/application, loadBalancerv2/network, loadBalancerv2/gateway","CLOUD, TERRAFORM"
EC2 instance should not use multiple ENIs,MEDIUM,AWS,virtualMachine,CLOUD
API Gateway stages CloudWatch execution logging should be enabled,LOW,AWS,"apiGateway, apiGatewayv2","CLOUD, TERRAFORM"
EC2 Security Group should restrict DNS access (UDP:53),HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
REST API Gateway stages' response caching should be enabled,LOW,AWS,apiGateway,"CLOUD, TERRAFORM, CLOUD_FORMATION"
REST API Gateway stages X-Ray tracing should be enabled,LOW,AWS,apiGateway,"CLOUD, CLOUD_FORMATION, ANSIBLE, CLOUD_FORMATION, TERRAFORM"
S3 Bucket policy should not allow S3 actions for all principals,MEDIUM,AWS,bucket,"CLOUD, ANSIBLE, TERRAFORM, CLOUD_FORMATION"
REST API Gateway stages should be configured with WAFv2 Web ACL,MEDIUM,AWS,apiGateway,"CLOUD, ANSIBLE, TERRAFORM, CLOUD_FORMATION"
S3 Bucket policy should not allow 'get' actions for all principals,HIGH,AWS,bucket,"CLOUD, TERRAFORM, CLOUD_FORMATION, ANSIBLE"
CloudFront distribution logging should be enabled,MEDIUM,AWS,cloudfront,"CLOUD, TERRAFORM, CLOUD_FORMATION"
IAM User should have only one active access key,LOW,AWS,"user, rootUser","CLOUD, CLOUD_FORMATION, TERRAFORM"
REST API Gateway stages detailed CloudWatch metrics should be enabled,LOW,AWS,apiGateway,"CLOUD, CLOUD_FORMATION, TERRAFORM"
S3 Bucket should prohibit public read access,HIGH,AWS,bucket,CLOUD
"IAM policy should not use the NotAction, NotPrincipal, or NotResource elements",MEDIUM,AWS,"resourcePolicy, inlinePolicy, customerManagedPolicy, serviceControlPolicy, assumeRolePolicy",CLOUD
Network ACL should be used,LOW,AWS,networkAcl,CLOUD
CloudFront encrypted data in transit should use TLS version 1.2 or higher,MEDIUM,AWS,cloudfront,"CLOUD, CLOUD_FORMATION, TERRAFORM"
Step Functions State Machine x-ray tracing should be enabled,LOW,AWS,statemachine,"CLOUD, TERRAFORM"
Application Load Balancer should use TLS version 1.3,MEDIUM,AWS,loadBalancerv2/application,CLOUD
EFS should have a user-configured Resource Policy,HIGH,AWS,elasticFileSystem,CLOUD
CloudTrail log file validation should be enabled,LOW,AWS,cloudtrail,"CLOUD, CLOUD_FORMATION, TERRAFORM"
Step Functions State Machine should stream all logging levels to CloudWatch,LOW,AWS,statemachine,"CLOUD, TERRAFORM"
Application Load Balancer should drop invalid headers,MEDIUM,AWS,loadBalancerv2/application,"CLOUD, TERRAFORM"
EC2 Security Group should restrict UDP access,HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
S3 Bucket BucketKey is disabled,INFORMATIONAL,AWS,bucket,CLOUD
EC2 Security Group should restrict MSSQL access (UDP:1434),HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
ACM certificate expiring within 30 days should be renewed,LOW,AWS,acm#certificate,CLOUD
CloudWatch Metric Alarm should have actions enabled,MEDIUM,AWS,metricfilteralarm,"CLOUD, TERRAFORM"
ECS Cluster should be configured with active services,MEDIUM,AWS,ecs,CLOUD
EKS Cluster endpoint access should not allow all IP addresses,HIGH,AWS,cluster,"CLOUD, TERRAFORM"
ACM certificate should not be expired,MEDIUM,AWS,acm#certificate,CLOUD
ECS Task Definition network mode should be 'awsvpc',MEDIUM,AWS,taskDefinition,"CLOUD, ANSIBLE, TERRAFORM, CLOUD_FORMATION"
CloudFront distribution should be associated with a WAF web ACL,MEDIUM,AWS,cloudfront,"CLOUD, TERRAFORM, CLOUD_FORMATION"
CloudFront distribution default root object should be configured,LOW,AWS,cloudfront,"CLOUD, TERRAFORM"
S3 Bucket should not allow any global access,HIGH,AWS,bucket,"CLOUD, TERRAFORM"
Application Load Balancer should use TLS version 1.2 or higher,MEDIUM,AWS,loadBalancerv2/application,"CLOUD, TERRAFORM"
KMS key is scheduled for deletion,INFORMATIONAL,AWS,encryptionKey,CLOUD
CloudFront distribution should not allow insecure TLS protocols,MEDIUM,AWS,cloudfront,"CLOUD, TERRAFORM, CLOUD_FORMATION"
IAM User should not have inline policies,MEDIUM,AWS,user,CLOUD
S3 Bucket ACL should not allow global 'READ' access,HIGH,AWS,bucket,"CLOUD, ANSIBLE, TERRAFORM, CLOUD_FORMATION"
GuardDuty ECS Fargate Agent Management should be enabled,LOW,AWS,guardduty,"CLOUD, TERRAFORM"
Application Load Balancer should allow only HTTPS traffic for a forward configuration,MEDIUM,AWS,loadBalancerv2/application,"CLOUD, CLOUD_FORMATION, TERRAFORM, ANSIBLE"
